state_cd	state_name	county_cd	county_nm	year	Total Population total population of area, in thousands	Public Supply population served by groundwater, in thousands	Public Supply population served by surface water, in thousands	Public Supply total population served, in thousands	Public Supply self-supplied groundwater withdrawals, fresh, in Mgal/d	Public Supply self-supplied groundwater withdrawals, saline, in Mgal/d	Public Supply total self-supplied withdrawals, groundwater, in Mgal/d	Public Supply self-supplied surface-water withdrawals, fresh, in Mgal/d	Public Supply self-supplied surface-water withdrawals, saline, in Mgal/d	Public Supply total self-supplied withdrawals, surface water, in Mgal/d	Public Supply total self-supplied withdrawals, fresh, in Mgal/d	Public Supply total self-supplied withdrawals, saline, in Mgal/d	Public Supply total self-supplied withdrawals, total, in Mgal/d	Public Supply deliveries to domestic, in Mgal/d	Public Supply deliveries to commercial, in Mgal/d	Public Supply deliveries to industrial, in Mgal/d	Public Supply deliveries to thermoelectric, in Mgal/d	Public Supply total deliveries, in Mgal/d	Public Supply public use and losses, in Mgal/d	Public Supply per capita use, in gallons/person/day	Public Supply reclaimed wastewater, in Mgal/d	Public Supply number of facilities	Commercial self-supplied groundwater withdrawals, fresh, in Mgal/d	Commercial self-supplied groundwater withdrawals, saline, in Mgal/d	Commercial total self-supplied withdrawals, groundwater, in Mgal/d	Commercial self-supplied surface-water withdrawals, fresh, in Mgal/d	Commercial self-supplied surface-water withdrawals, saline, in Mgal/d	Commercial total self-supplied withdrawals, surface water, in Mgal/d	Commercial total self-supplied withdrawals, fresh, in Mgal/d	Commercial total self-supplied withdrawals, saline, in Mgal/d	Commercial total self-supplied withdrawals, in Mgal/d	Commercial deliveries from public supply, in Mgal/d	Commercial total self-supplied withdrawals plus deliveries, in Mgal/d	Commercial consumptive use, fresh, in Mgal/d	Commercial consumptive use, saline, in Mgal/d	Commercial total consumptive use, in Mgal/d	Commercial reclaimed wastewater, in Mgal/d	Domestic self-supplied population, in thousands	Domestic self-supplied groundwater withdrawals, fresh, in Mgal/d	Domestic self-supplied groundwater withdrawals, saline, in Mgal/d	Domestic total self-supplied withdrawals, groundwater, in Mgal/d	Domestic self-supplied surface-water withdrawals, fresh, in Mgal/d	Domestic self-supplied surface-water withdrawals, saline, in Mgal/d	Domestic total self-supplied withdrawals, surface water, in Mgal/d	Domestic total self-supplied withdrawals, fresh, in Mgal/d	Domestic total self-supplied withdrawals, saline, in Mgal/d	Domestic total self-supplied withdrawals, in Mgal/d	Domestic per capita use, self-supplied, in gallons/person/day	Domestic deliveries from public supply, in Mgal/d	Domestic per capita use, public-supplied, in gallons/person/day	Domestic total self-supplied withdrawals plus deliveries, in Mgal/d	Domestic consumptive use, fresh, in Mgal/d	Domestic consumptive use, saline, in Mgal/d	Domestic total consumptive use, in Mgal/d	Livestock self-supplied groundwater withdrawals, fresh, in Mgal/d	Livestock self-supplied surface-water withdrawals, fresh, in Mgal/d	Livestock total self-supplied withdrawals, fresh, in Mgal/d	Livestock consumptive use, fresh, in Mgal/d	Irrigation, Total self-supplied groundwater withdrawals, fresh, in Mgal/d	Irrigation, Total self-supplied surface-water withdrawals, fresh, in Mgal/d	Irrigation, Total consumptive use, fresh, in Mgal/d	Irrigation, Total sprinkler irrigation, in thousand acres	Irrigation, Total microirrigation, in thousand acres	Irrigation, Total surface irrigation, in thousand acres	Irrigation, Total total irrigation, in thousand acres	Irrigation, Total reclaimed wastewater, in Mgal/d	Irrigation, Crop self-supplied groundwater withdrawals for crops, fresh, in Mgal/d	Irrigation, Crop self-supplied surface-water withdrawals for crops, fresh, in Mgal/d	Irrigation, Crop total self-supplied withdrawals for crops, fresh, in Mgal/d	Irrigation, Crop consumptive use for crops, fresh, in Mgal/d	Irrigation, Crop sprinkler irrigation for crops, in thousand acres	Irrigation, Crop microirrigation for crops, in thousand acres	Irrigation, Crop surface irrigation for crops, in thousand acres	Irrigation, Crop total irrigation for crops, in thousand acres	Irrigation, Crop reclaimed wastewater for crops, in Mgal/d	Irrigation, Golf Courses self-supplied groundwater withdrawals for golf courses, fresh, in Mgal/d	Irrigation, Golf Courses self-supplied surface-water withdrawals for golf courses, fresh, in Mgal/d	Irrigation, Golf Courses total self-supplied withdrawals for golf courses, fresh, in Mgal/d	Irrigation, Golf Courses consumptive use for golf courses, fresh, in Mgal/d	Irrigation, Golf Courses sprinkler irrigation for golf courses, in thousand acres	Irrigation, Golf Courses microirrigation for golf courses, in thousand acres	Irrigation, Golf Courses surface irrigation for golf courses, in thousand acres	Irrigation, Golf Courses total irrigation for golf courses, in thousand acres	Irrigation, Golf Courses reclaimed wastewater for golf courses, in Mgal/d
06	California	003	Alpine County	2005	1.159	0.076	0.244	0.320	0.01	0.00	0.01	0.07	0.00	0.07	0.08	0.00	0.08	0.08	-	-	-	-	-	250.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.839	0.01	-	-	0.00	-	-	0.01	-	-	12	0.080	250	0.09	-	-	-	0.01	0.02	0.03	-	0.00	14.95	-	0.71	2.96	0.11	3.78	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	003	Alpine County	2010	1.175	0.220	0.530	0.750	0.08	0.00	0.08	0.11	0.00	0.11	0.19	0.00	0.19	0.08	-	0.00	-	-	-	253.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.425	0.03	-	-	0.01	-	-	0.04	-	-	94	0.080	107	0.12	-	-	-	0.00	0.01	0.01	-	0.00	4.22	-	0.30	1.27	0.05	1.62	-	0.00	4.22	4.22	4.56	0.30	1.27	0.05	1.62	-	0.00	0.00	0.00	-	0.00	0.00	0.00	0.00	0.00
06	California	005	Amador County	1985	22.890	3.870	8.670	12.540	0.61	-	-	2.26	-	-	2.87	-	-	1.75	0.66	1.36	0.00	3.77	-	-	-	-	0.23	-	-	0.03	-	-	0.26	-	-	0.66	-	0.33	-	-	-	10.350	0.61	-	-	0.07	-	-	0.68	-	-	66	1.750	140	2.43	0.63	-	-	-	-	-	-	8.35	4.45	8.95	0.80	-	4.20	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	005	Amador County	1990	30.040	3.540	19.610	23.150	0.36	-	-	8.90	-	-	9.26	-	-	1.79	0.33	1.47	0.00	3.59	-	-	-	24	0.00	-	-	0.00	-	-	0.00	-	-	0.33	-	0.00	-	-	-	6.890	0.08	-	-	0.44	-	-	0.52	-	-	75	1.790	77	2.31	0.60	-	-	-	-	-	-	1.80	14.53	11.42	2.75	-	2.75	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	005	Amador County	1995	32.600	1.770	24.930	26.700	0.35	0.00	0.35	9.39	0.00	9.39	9.74	0.00	9.74	2.32	1.27	1.47	0.00	5.06	4.68	365.00	0.00	20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	1.27	0.33	0.00	0.33	0.00	5.900	0.40	0.00	0.40	0.04	0.00	0.04	0.44	0.00	0.44	75	2.320	87	2.76	0.72	0.00	0.72	-	-	-	-	11.51	4.84	14.69	0.80	0.74	3.86	5.40	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	005	Amador County	2000	35.100	2.460	24.360	26.820	0.54	-	-	5.27	-	-	5.81	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8.280	0.56	-	-	0.06	-	-	0.62	-	-	75	-	-	-	-	-	-	0.27	0.35	0.62	-	17.52	7.45	-	1.63	6.40	0.20	8.23	-	17.30	7.30	24.60	-	1.40	6.40	0.20	8.00	-	0.22	0.15	0.37	-	0.23	0.00	0.00	0.23	-
06	California	005	Amador County	2005	38.471	0.425	19.800	20.225	0.13	0.00	0.13	5.87	0.00	5.87	6.00	0.00	6.00	4.81	-	-	-	-	-	297.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18.246	0.13	-	-	0.00	-	-	0.13	-	-	7	4.810	238	4.94	-	-	-	0.14	0.18	0.32	-	3.54	7.60	-	0.00	0.00	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	005	Amador County	2010	38.091	5.220	24.990	30.210	1.22	0.00	1.22	6.37	0.00	6.37	7.59	0.00	7.59	3.12	-	0.08	-	-	-	251.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7.881	0.44	-	-	0.13	-	-	0.57	-	-	72	3.120	103	3.69	-	-	-	0.10	0.13	0.23	-	5.56	11.47	-	0.20	0.00	0.00	0.20	-	5.24	11.25	16.49	15.38	0.00	0.00	0.00	0.00	-	0.32	0.22	0.54	-	0.20	0.00	0.00	0.20	-
06	California	007	Butte County	1985	163.220	77.960	56.220	134.180	23.22	-	-	16.42	-	-	39.64	-	-	24.18	9.12	0.78	0.00	34.08	-	-	-	-	0.76	-	-	0.06	-	-	0.82	-	-	9.12	-	2.74	-	-	-	29.040	2.03	-	-	0.15	-	-	2.18	-	-	75	24.180	180	26.36	6.85	-	-	-	-	-	-	285.44	908.89	699.88	66.63	-	235.27	-	2.39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	007	Butte County	1990	182.120	77.920	44.800	122.720	30.32	-	-	15.51	-	-	45.83	-	-	20.82	8.37	0.44	0.00	29.63	-	-	-	53	0.00	-	-	0.00	-	-	0.00	-	-	8.37	-	0.00	-	-	-	59.400	2.81	-	-	1.65	-	-	4.46	-	-	75	20.820	170	25.28	6.57	-	-	-	-	-	-	306.08	501.36	577.27	56.45	-	160.65	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	007	Butte County	1995	196.100	110.220	42.490	152.710	30.39	0.00	30.39	14.57	0.00	14.57	44.96	0.00	44.96	30.62	9.76	0.90	0.00	41.28	3.68	294.00	0.00	15	18.45	0.00	18.45	35.11	0.00	35.11	53.56	0.00	53.56	9.76	63.32	2.54	0.00	2.54	0.00	43.390	2.93	0.00	2.93	0.33	0.00	0.33	3.26	0.00	3.26	75	30.620	201	33.88	8.81	0.00	8.81	-	-	-	-	250.69	602.77	759.80	61.39	10.32	153.59	225.30	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	007	Butte County	2000	203.170	99.400	65.370	164.770	27.44	-	-	17.94	-	-	45.38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	38.400	2.59	-	-	0.29	-	-	2.88	-	-	75	-	-	-	-	-	-	0.27	0.34	0.61	-	286.25	687.24	-	149.06	43.90	64.40	257.36	-	285.60	686.80	972.40	-	148.40	43.90	64.40	256.70	-	0.65	0.44	1.09	-	0.66	0.00	0.00	0.66	-
06	California	007	Butte County	2005	214.185	52.980	158.941	211.921	10.17	0.00	10.17	30.51	0.00	30.51	40.68	0.00	40.68	35.78	-	-	-	-	-	192.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2.264	9.48	-	-	0.00	-	-	9.48	-	-	4187	35.780	169	45.26	-	-	-	0.19	0.23	0.42	-	265.54	450.58	-	122.30	31.53	53.11	206.94	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	007	Butte County	2010	220.000	123.340	62.860	186.200	28.50	0.00	28.50	14.34	0.00	14.34	42.84	0.00	42.84	28.92	-	0.76	-	-	-	230.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33.800	2.21	-	-	0.33	-	-	2.54	-	-	75	28.920	155	31.46	-	-	-	0.14	0.18	0.32	-	239.79	406.35	-	131.38	33.71	56.77	221.86	-	239.26	405.99	645.25	563.78	130.74	33.71	56.77	221.22	-	0.53	0.36	0.89	-	0.64	0.00	0.00	0.64	-
06	California	009	Calaveras County	1985	26.880	3.480	17.230	20.710	0.57	-	-	3.04	-	-	3.61	-	-	2.20	0.83	0.97	0.00	4.00	-	-	-	-	0.05	-	-	0.01	-	-	0.06	-	-	0.83	-	0.24	-	-	-	6.170	0.12	-	-	0.02	-	-	0.14	-	-	23	2.200	106	2.34	0.61	-	-	-	-	-	-	1.38	2.00	2.37	0.27	-	1.43	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	009	Calaveras County	1990	32.000	0.910	10.710	11.620	0.09	-	-	1.71	-	-	1.80	-	-	1.32	0.28	0.05	0.00	1.65	-	-	-	22	0.00	-	-	0.00	-	-	0.00	-	-	0.28	-	0.00	-	-	-	20.380	0.12	-	-	1.41	-	-	1.53	-	-	75	1.320	114	2.85	0.74	-	-	-	-	-	-	1.22	5.20	4.55	0.95	-	0.95	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	009	Calaveras County	1995	36.950	0.910	27.860	28.770	0.09	0.00	0.09	4.99	0.00	4.99	5.08	0.00	5.08	3.74	0.40	0.05	0.00	4.19	0.89	177.00	0.00	9	0.03	0.00	0.03	0.05	0.00	0.05	0.08	0.00	0.08	0.40	0.48	0.10	0.00	0.10	0.25	8.180	0.55	0.00	0.55	0.06	0.00	0.06	0.61	0.00	0.61	75	3.740	130	4.35	1.13	0.00	1.13	-	-	-	-	2.51	3.01	4.59	0.51	0.22	1.07	1.80	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	009	Calaveras County	2000	40.550	1.820	33.790	35.610	0.30	-	-	6.71	-	-	7.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.940	0.33	-	-	0.04	-	-	0.37	-	-	75	-	-	-	-	-	-	0.15	0.19	0.34	-	3.05	3.86	-	0.62	1.40	0.70	2.72	-	2.90	3.50	6.40	-	0.10	1.40	0.70	2.20	-	0.15	0.36	0.51	-	0.52	0.00	0.00	0.52	-
06	California	009	Calaveras County	2005	46.871	15.585	23.313	38.898	2.64	0.00	2.64	3.95	0.00	3.95	6.59	0.00	6.59	9.04	-	-	-	-	-	169.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7.973	3.97	-	-	0.01	-	-	3.98	-	-	499	9.040	232	13.02	-	-	-	0.21	0.26	0.47	-	0.57	3.71	-	0.09	0.70	0.66	1.45	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	009	Calaveras County	2010	45.578	4.160	28.850	33.010	0.48	0.00	0.48	9.17	0.00	9.17	9.65	0.00	9.65	6.33	-	0.00	-	-	-	292.00	0.47	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12.568	0.58	-	-	0.20	-	-	0.78	-	-	62	6.330	192	7.11	-	-	-	0.17	0.21	0.38	-	1.86	10.51	-	0.82	2.07	1.96	4.85	-	1.47	9.57	11.04	11.33	0.27	2.07	1.96	4.30	-	0.39	0.94	1.33	-	0.55	0.00	0.00	0.55	0.64
06	California	011	Colusa County	1985	14.690	10.050	0.000	10.050	3.22	-	-	0.00	-	-	3.22	-	-	1.96	0.74	0.03	0.00	2.73	-	-	-	-	0.13	-	-	0.00	-	-	0.13	-	-	0.74	-	0.26	-	-	-	4.640	0.34	-	-	0.00	-	-	0.34	-	-	73	1.960	195	2.30	0.60	-	-	-	-	-	-	236.68	753.61	555.81	56.71	-	201.29	-	1.98	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	011	Colusa County	1990	16.280	9.620	0.000	9.620	3.01	-	-	0.00	-	-	3.01	-	-	1.81	0.39	0.01	0.00	2.21	-	-	-	10	0.00	-	-	0.00	-	-	0.00	-	-	0.39	-	0.00	-	-	-	6.660	0.50	-	-	0.00	-	-	0.50	-	-	75	1.810	188	2.31	0.08	-	-	-	-	-	-	155.76	720.91	607.25	31.79	-	233.01	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	011	Colusa County	1995	17.850	12.770	0.000	12.770	3.01	0.00	3.01	0.00	0.00	0.00	3.01	0.00	3.01	2.08	0.51	0.00	0.00	2.59	0.42	236.00	0.00	4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.51	0.51	0.13	0.00	0.13	0.00	5.080	0.35	0.00	0.35	0.03	0.00	0.03	0.38	0.00	0.38	75	2.080	163	2.46	0.67	0.00	0.67	-	-	-	-	325.25	719.67	837.43	46.05	8.04	243.91	298.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	011	Colusa County	2000	18.800	11.740	0.000	11.740	3.22	-	-	0.00	-	-	3.22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7.060	0.48	-	-	0.05	-	-	0.53	-	-	75	-	-	-	-	-	-	0.22	0.28	0.50	-	283.07	626.12	-	16.78	75.40	167.20	259.38	-	282.90	626.00	908.90	-	16.60	75.40	167.20	259.20	-	0.17	0.12	0.29	-	0.18	0.00	0.00	0.18	-
06	California	011	Colusa County	2005	21.095	4.453	6.679	11.132	0.64	0.00	0.64	0.96	0.00	0.96	1.60	0.00	1.60	2.71	-	-	-	-	-	144.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9.963	0.99	-	-	0.25	-	-	1.24	-	-	124	2.710	243	3.95	-	-	-	0.12	0.16	0.28	-	136.98	772.07	-	17.16	77.21	172.92	267.29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
06	California	011	Colusa County	2010	21.419	17.620	0.320	17.940	4.07	0.00	4.07	0.06	0.00	0.06	4.13	0.00	4.13	2.26	-	0.10	-	-	-	230.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.479	0.24	-	-	0.02	-	-	0.26	-	-	75	2.260	126	2.52	-	-	-	0.12	0.16	0.28	-	124.97	704.02	-	19.40	86.87	194.55	300.82	-	124.90	703.97	828.87	696.26	19.31	86.87	194.55	300.73	-	0.07	0.05	0.12	-	0.09	0.00	0.00	0.09	-
